canal_id,nombre_canal,categoria,provincia,ciudad,suscriptores,certeza,metodo_deteccion,indicadores_argentinidad,url,fecha_deteccion
Suscribite y mirá contenidos exclusivos cuando y donde quieras de El Club del Moro, No Esta Todo Dicho, Sarasa, Atardecer de un Día Agitado, las secciones de Guillermo Coppola, Costa, la contadora, En Tercera Persona con Guido Kaczka y Gunda Fontán, Entrevistas de Bebe Sanzo, novedades de cine y series, y la mejor selección de videos de géneros pensados para vos.
UCFAiSCNaJnizLNIF1aSkQAQ,Gran Hermano Argentina,Entretenimiento,Argentina,Por determinar,1570000.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCFAiSCNaJnizLNIF1aSkQAQ,2025-06-18
UCxDteokWBemJvLI_I0VUGdA,Radio Con Vos 89.9,Entretenimiento,Buenos Aires,Por determinar,277000.0,88.0,province_mention,provincia_Buenos Aires,https://youtube.com/channel/UCxDteokWBemJvLI_I0VUGdA,2025-06-18
UCs1U5lRXvUJHn0CgXI6oXAw,Radio La Red AM 910,Educativo,Argentina,Por determinar,264000.0,95.0,explicit_country,menciona_argentino,https://youtube.com/channel/UCs1U5lRXvUJHn0CgXI6oXAw,2025-06-18
"🟦 Rad""",Argentina,5.0,,,,,,,,
UCgcUYL6ODQniPuwD4N-Tlvg,Radio Nacional Argentina AM870,Entretenimiento,Argentina,Por determinar,28700.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCgcUYL6ODQniPuwD4N-Tlvg,2025-06-18
UCJozD5RVug7EZdTjqkGISYQ,Radio10,Entretenimiento,Misiones,Por determinar,143000.0,88.0,province_mention,provincia_Misiones,https://youtube.com/channel/UCJozD5RVug7EZdTjqkGISYQ,2025-06-18
UCakcB6z6gNOacpGm1m5pFsA,Glup!,Charlas/Podcast,CABA,Por determinar,1110.0,94.0,province_mention,provincia_CABA,https://youtube.com/channel/UCakcB6z6gNOacpGm1m5pFsA,2025-06-18
UCnpypNQhebDf0nUx-kP2cXg,URBAN985,Música,Argentina,Por determinar,3080.0,95.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCnpypNQhebDf0nUx-kP2cXg,2025-06-18
UCV_lV9IyBIL0zwbyFMrvleQ,viBra,Entretenimiento,Buenos Aires,Por determinar,2810.0,100.0,explicit_country,menciona_argentino,https://youtube.com/channel/UCV_lV9IyBIL0zwbyFMrvleQ,2025-06-18
UCC1kfsMJko54AqxtcFECt-A,Urbana Play 104.3 FM,Gaming,Mendoza,Por determinar,862000.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCC1kfsMJko54AqxtcFECt-A,2025-06-18
UCFgk2Q2mVO1BklRQhSv6p0w,C5N,Entretenimiento,Santa Fe,Por determinar,3080000.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCFgk2Q2mVO1BklRQhSv6p0w,2025-06-18
UCAlQ5f7mhnkfM6jjXeJDw7g,Rock And Pop,Música,Santa Fe,Por determinar,136000.0,100.0,explicit_country,menciona_argentina,https://youtube.com/channel/UCAlQ5f7mhnkfM6jjXeJDw7g,2025-06-18
Además, los mejores momentos de nuestra programación con Beto Casella, Martín Ciccioli, Gonzalito Rodríguez, Joe Fernández, Alexis Puig, Eduardo de la Puente, Martina Soto Pose, Magui Aicega, Bobby Flores, Alfredo Rosso
